host_unix_s,host_elapsed_s,host_dt_s,mcu_timestamp_ms,mcu_elapsed_s,response_status,terminated,pendulum_angle_deg,pendulum_error_deg,pendulum_velocity_dps_est,rotor_angle_deg,rotor_velocity_dps_est,motor_speed_pps_observed,l6474_status_raw
1789387980.8353045,18.186477200011723,0.019951599999330938,976344,18.317,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.854451,18.205968700000085,0.019491499988362193,976364,18.337,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.877162,18.22799699997995,0.02202829997986555,976384,18.357,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.8949559,18.24623409996275,0.0182370999827981,976405,18.378,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.9149861,18.26593839994166,0.019704299978911877,976425,18.398,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.9364736,18.287136900005862,0.021198500064201653,976445,18.418,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.957881,18.308562299935147,0.02142539992928505,976465,18.438,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.978657,18.329449799959548,0.02088750002440065,976485,18.458,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387980.9963164,18.347311199991964,0.017861400032415986,976506,18.479,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.0159144,18.36726660002023,0.019955400028266013,976526,18.499,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.0356069,18.386664399993606,0.019397799973376095,976546,18.519,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.0569198,18.407982300035655,0.021317900042049587,976566,18.539,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.077291,18.42864549998194,0.020663199946284294,976586,18.559,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
